product_id,title,vendor,price,compare_at_price,tags,sizes_available,stock_per_size,is_sale,is_clearance,bestseller_score
P0001,Classic A-Line Midi Dress,Bella Rosa,137,180,"casual,relaxed,short-sleeve,relaxed","2,4,6,8,10,12","2,1,5,4,4,3",FALSE,FALSE,72
P0002,Silk Wrap Evening Gown,Aurelia Couture,489,520,"evening,elegant,long-sleeve,fitted","4,6,8,10,12,14","2,2,7,1,1,2",FALSE,FALSE,88
P0003,Satin Cocktail Dress,Nocturne,258,310,"cocktail,elegant,sleeveless,fitted","2,4,6,8,10","4,4,1,4,7",TRUE,FALSE,91
P0004,Bohemian Maxi Dress,Wanderlust,175,175,"casual,modest,long-sleeve,relaxed","4,6,8,10,12,14,16","4,8,5,1,3,7,6",FALSE,FALSE,65
P0005,Sequin Mini Party Dress,Glitz & Glam,220,280,"party,bold,sleeveless,fitted","2,4,6,8","5,3,4,6",TRUE,FALSE,78
P0006,Modest Crepe Evening Gown,Aurelia Couture,395,450,"evening,modest,long-sleeve,fitted","6,8,10,12,14","2,2,7,2,6",TRUE,FALSE,85
P0007,Floral Garden Party Dress,Bella Rosa,145,145,"casual,floral,short-sleeve,relaxed","4,6,8,10,12,14","6,5,1,8,2,7",FALSE,FALSE,70
P0008,Velvet Formal Gown,Nocturne,309,380,"evening,elegant,long-sleeve,fitted","4,6,8,10,12,14,16","2,5,6,4,2,1,4",TRUE,FALSE,82
P0009,Lace Bodice Midi Dress,Moonlit,198,198,"cocktail,elegant,sleeveless,fitted","2,4,6,8,10","5,2,4,2,7",FALSE,FALSE,74
P0010,Ruched Bodycon Dress,Glitz & Glam,165,210,"party,bold,sleeveless,fitted","2,4,6,8,10","5,8,6,3,6",TRUE,FALSE,68
P0011,Chiffon Bridesmaid Dress,Bella Rosa,189,189,"wedding,elegant,sleeveless,relaxed","4,6,8,10,12,14","6,4,5,2,3,4",FALSE,FALSE,76
P0012,Cotton Sundress,Wanderlust,97,120,"casual,relaxed,sleeveless,relaxed","2,4,6,8,10,12,14,16","3,8,7,5,4,6,1,4",TRUE,FALSE,55
P0013,Embroidered Tulle Gown,Aurelia Couture,352,420,"evening,modest,long-sleeve,fitted","6,8,10,12,14,16","1,6,7,5,2,4",TRUE,FALSE,89
P0014,Pleated Satin Maxi,Nocturne,414,450,"evening,elegant,sleeveless,fitted","4,6,8,10,12,14","6,4,8,7,8,3",FALSE,FALSE,83
P0015,Off-Shoulder Cocktail Dress,Glitz & Glam,298,350,"cocktail,bold,off-shoulder,fitted","6,8,10,12,14","5,3,4,5,7",TRUE,FALSE,80
P0016,Modest High-Neck Gown,Moonlit,275,275,"evening,modest,long-sleeve,fitted","4,6,8,10,12,14","7,6,4,3,8,2",FALSE,FALSE,86
P0017,Denim Shirt Dress,Wanderlust,109,140,"casual,relaxed,short-sleeve,relaxed","4,6,8,10,12,14,16","1,2,3,3,7,2,7",TRUE,FALSE,52
P0018,Baroque Print Maxi,Aurelia Couture,376,400,"evening,bold,long-sleeve,relaxed","4,6,8,10,12,14,16","7,8,5,1,2,5,6",FALSE,FALSE,77
P0019,Jersey Wrap Dress,Bella Rosa,131,160,"casual,modest,short-sleeve,relaxed","4,6,8,10,12,14,16","2,5,7,3,8,1,5",TRUE,FALSE,63
P0020,Crystal-Embellished Gown,Nocturne,419,500,"evening,elegant,sleeveless,fitted","4,6,8,10,12,14,16","3,2,5,4,3,6,3",TRUE,FALSE,94
P0021,Tiered Ruffle Midi,Moonlit,277,300,"cocktail,elegant,sleeveless,relaxed","2,4,6,8,10,12","1,6,8,1,2,6",FALSE,FALSE,71
P0022,Organza Ball Gown,Aurelia Couture,437,500,"evening,elegant,sleeveless,fitted","6,8,10,12,14,16","5,4,1,4,2,2",FALSE,FALSE,92
P0023,Wrap Front Jumpsuit,Wanderlust,259,290,"cocktail,modern,sleeveless,fitted","2,4,6,8,10","8,2,3,3,8",FALSE,FALSE,67
P0024,Asymmetric Hem Dress,Glitz & Glam,275,330,"party,bold,one-shoulder,fitted","2,4,6,8,10,12,14,16","3,5,7,4,4,5,7,6",TRUE,FALSE,73
P0025,Pearl-Detail Evening Gown,Nocturne,266,320,"evening,modest,long-sleeve,fitted","4,6,8,10,12","8,8,2,4,4",TRUE,FALSE,87
P0026,Lace Overlay Maxi,Aurelia Couture,390,420,"evening,elegant,long-sleeve,fitted","6,8,10,12,14","2,6,1,4,4",FALSE,FALSE,84
P0027,Puff Sleeve Midi,Bella Rosa,155,155,"casual,modest,puff-sleeve,relaxed","4,6,8,10,12,14","1,2,1,4,2,1",FALSE,FALSE,66
